date,2016-05-28 02:00:01,CPU Utilization,14.43723
date,2016-05-28 02:00:21,CPU Utilization,13.91510
date,2016-05-28 02:00:41,CPU Utilization,17.59375
date,2016-05-28 02:01:02,CPU Utilization,16.56993
date,2016-05-28 02:01:21,CPU Utilization,13.41791
date,2016-05-28 02:01:42,CPU Utilization,17.45406
date,2016-05-28 02:02:01,CPU Utilization,16.77283
date,2016-05-28 02:02:21,CPU Utilization,14.82222
date,2016-05-28 02:02:41,CPU Utilization,17.03018
date,2016-05-28 02:03:01,CPU Utilization,16.46177
date,2016-05-28 02:03:21,CPU Utilization,16.03024
date,2016-05-28 02:03:41,CPU Utilization,15.27934
date,2016-05-28 02:04:01,CPU Utilization,18.08198
date,2016-05-28 02:04:21,CPU Utilization,14.85810
date,2016-05-28 02:04:41,CPU Utilization,12.44766
date,2016-05-28 02:05:01,CPU Utilization,18.48639
date,2016-05-28 02:05:21,CPU Utilization,15.86676
date,2016-05-28 02:05:41,CPU Utilization,13.20790
date,2016-05-28 02:06:01,CPU Utilization,20.52050
date,2016-05-28 02:06:21,CPU Utilization,16.83644
date,2016-05-28 02:06:41,CPU Utilization,12.56796
date,2016-05-28 02:07:01,CPU Utilization,20.09862
date,2016-05-28 02:07:21,CPU Utilization,18.06250
date,2016-05-28 02:07:41,CPU Utilization,21.21344
date,2016-05-28 02:08:01,CPU Utilization,20.77638
date,2016-05-28 02:08:21,CPU Utilization,15.49806
date,2016-05-28 02:08:41,CPU Utilization,12.06950
date,2016-05-28 02:09:01,CPU Utilization,19.21612
date,2016-05-28 02:09:21,CPU Utilization,14.42319
date,2016-05-28 02:09:41,CPU Utilization,13.54290
date,2016-05-28 02:10:01,CPU Utilization,19.44583
date,2016-05-28 02:10:21,CPU Utilization,14.49818
date,2016-05-28 02:10:41,CPU Utilization,15.66972
date,2016-05-28 02:11:01,CPU Utilization,20.62788
date,2016-05-28 02:11:21,CPU Utilization,14.23750
date,2016-05-28 02:11:41,CPU Utilization,15.11402
date,2016-05-28 02:12:01,CPU Utilization,20.33083
date,2016-05-28 02:12:21,CPU Utilization,13.54290
date,2016-05-28 02:12:41,CPU Utilization,15.86775
date,2016-05-28 02:13:01,CPU Utilization,19.46941
date,2016-05-28 02:13:21,CPU Utilization,13.48953
date,2016-05-28 02:13:41,CPU Utilization,14.33304
date,2016-05-28 02:14:01,CPU Utilization,19.73413
date,2016-05-28 02:14:21,CPU Utilization,13.82413
date,2016-05-28 02:14:41,CPU Utilization,15.40000
date,2016-05-28 02:15:01,CPU Utilization,20.02621
date,2016-05-28 02:15:21,CPU Utilization,15.13844
date,2016-05-28 02:15:41,CPU Utilization,22.53327
date,2016-05-28 02:16:01,CPU Utilization,12.77777
date,2016-05-28 02:16:21,CPU Utilization,14.89906
date,2016-05-28 02:16:41,CPU Utilization,15.22214
date,2016-05-28 02:17:01,CPU Utilization,20.95244
date,2016-05-28 02:17:21,CPU Utilization,14.19286
date,2016-05-28 02:17:41,CPU Utilization,16.91971
date,2016-05-28 02:18:01,CPU Utilization,26.27737
date,2016-05-28 02:18:21,CPU Utilization,13.39581
date,2016-05-28 02:18:41,CPU Utilization,12.73829
date,2016-05-28 02:19:01,CPU Utilization,21.11111
date,2016-05-28 02:19:21,CPU Utilization,14.68658
date,2016-05-28 02:19:41,CPU Utilization,13.94375